Unnamed: 0,CustomerID,Age,Gender,Location,ProductCategory,PurchaseDate,PurchaseAmount,PaymentMethod,Quantity,DiscountPercentage,IsReturned,Rating,IsPromotion,CustomerSegment,ShippingDuration,Region,IngestionTimestamp,Source,Month
0,1,56.0,Male,Suburb,Clothing,2022-01-01,-100.0,Debit Card,5,0.3003960746698095,False,2,False,New,2.0,South,2024-05-31 11:52:10.267500,System A,1
1,2,46.0,Female,Rural,Home Appliances,2022-01-02,999999.0,Cash,5,0.3504328486219399,False,3,False,Returning,4.0,East,2024-05-31 11:52:10.267500,System A,1
2,3,,Female,Suburb,Home Appliances,2022-01-03,955.5640552187843,Debit Card,8,0.142602901340207,False,5,False,Returning,5.0,South,2024-05-31 11:52:10.267500,System A,1
3,4,60.0,Female,Suburb,Electronics,2022-01-04,527.3508333433778,Cash,9,0.3153852100863103,False,4,False,New,,West,2024-05-31 11:52:10.267500,System A,1
4,10,25.0,Male,Suburb,Clothing,2022-01-10,306.5700211743352,Credit Card,9,0.2278247747199387,False,5,False,Returning,5.0,North,2024-05-31 11:52:10.267500,System A,1
5,10,38.0,Male,Suburb,Home Appliances,2022-01-10,86.09345452340187,Credit Card,6,0.2410086698884662,False,4,False,Returning,1.0,East,2024-05-31 11:52:10.267500,System A,1
6,7,56.0,Male,City,Home Appliances,2022-01-07,505.6180253897136,Cash,6,0.378888280187579,False,4,False,New,2.0,South,2024-05-31 11:52:10.267500,System A,1
7,8,36.0,Male,City,Electronics,2022-01-08,796.5703890458412,Cash,9,0.1409591777986258,False,1,False,New,4.0,East,2024-05-31 11:52:10.267500,System A,1
8,9,40.0,Male,Rural,Electronics,2022-01-09,710.0156124940312,Cash,4,0.1590198058472599,True,2,False,New,1.0,South,2024-05-31 11:52:10.267500,System A,1
9,10,28.0,Male,City,Home Appliances,2022-01-10,59.72375134933402,Debit Card,6,0.4623208955643183,False,5,False,New,5.0,East,2024-05-31 11:52:10.267500,System A,1
10,11,28.0,Male,City,Clothing,2022-01-11,82.17281701422448,Credit Card,4,0.0281121474254861,True,4,False,New,5.0,South,2024-05-31 11:52:10.267500,System A,1
11,12,41.0,Male,Rural,Clothing,2022-01-12,408.84454980631074,Cash,1,0.2428171492066702,False,5,True,Returning,4.0,North,2024-05-31 11:52:10.267500,System A,1
12,13,53.0,Female,Rural,Electronics,2022-01-13,302.3375891074638,Debit Card,7,0.4564004002039308,False,5,False,Returning,1.0,South,2024-05-31 11:52:10.267500,System A,1
13,14,57.0,Female,Rural,Electronics,2022-01-14,240.06047982548736,Credit Card,6,0.3051815039090785,False,4,True,Returning,7.0,West,2024-05-31 11:52:10.267500,System A,1
14,15,41.0,Male,City,Home Appliances,2022-01-15,288.1944539196265,Debit Card,9,0.273203537106066,False,3,False,New,6.0,East,2024-05-31 11:52:10.267500,System A,1
15,16,20.0,Male,City,Electronics,2022-01-16,805.4479158639158,Credit Card,7,0.1248720896146776,False,2,True,New,3.0,East,2024-05-31 11:52:10.267500,System A,1
16,17,39.0,Female,Rural,Home Appliances,2022-01-17,929.9357730955354,Debit Card,7,0.1716377445322241,False,2,False,Returning,4.0,West,2024-05-31 11:52:10.267500,System A,1
17,18,19.0,Male,Suburb,Clothing,2022-01-18,411.0516675822908,Credit Card,2,0.4260242079023464,False,1,False,New,5.0,West,2024-05-31 11:52:10.267500,System A,1
18,19,41.0,Male,Rural,Clothing,2022-01-19,907.049892111172,Credit Card,9,0.279609065884229,False,1,False,New,2.0,North,2024-05-31 11:52:10.267500,System A,1
19,20,61.0,Male,Suburb,Home Appliances,2022-01-20,328.2807442354031,Debit Card,9,0.2573710968783899,False,1,False,Returning,1.0,East,2024-05-31 11:52:10.267500,System A,1
20,21,47.0,Female,Suburb,Electronics,2022-01-21,481.6726164803537,Cash,6,0.0497898567700144,False,2,False,New,6.0,North,2024-05-31 11:52:10.267500,System A,1
21,22,55.0,Female,Rural,Clothing,2022-01-22,233.7687078378397,Credit Card,3,0.0080140782275615,True,3,False,Returning,3.0,East,2024-05-31 11:52:10.267500,System A,1
22,23,19.0,Female,Rural,Electronics,2022-01-23,644.0712817540856,Cash,1,0.4818425943435245,True,2,False,New,2.0,East,2024-05-31 11:52:10.267500,System A,1
23,24,38.0,Female,Rural,Clothing,2022-01-24,979.1913040230608,Debit Card,4,0.1884930836434208,False,2,False,Returning,1.0,North,2024-05-31 11:52:10.267500,System A,1
24,25,50.0,Female,City,Home Appliances,2022-01-25,607.4581650829449,Cash,3,0.3016065310497521,False,2,False,Returning,6.0,East,2024-05-31 11:52:10.267500,System A,1
25,26,29.0,Male,Suburb,Home Appliances,2022-01-26,364.2359432724134,Cash,1,0.0398575365936424,False,2,False,Returning,4.0,East,2024-05-31 11:52:10.267500,System A,1
26,27,39.0,Female,City,Home Appliances,2022-01-27,651.3392715306231,Cash,3,0.3415571428615233,False,3,True,New,6.0,North,2024-05-31 11:52:10.267500,System A,1
27,28,61.0,Male,City,Clothing,2022-01-28,131.69147168073368,Cash,4,0.4662833543529804,False,1,False,Returning,4.0,South,2024-05-31 11:52:10.267500,System A,1
